MM,gdp_m
2001-01,11.451230936669774
2001-02,11.299502084885717
2001-03,11.290266978444508
2001-04,11.383312157735428
2001-05,11.599018918077316
2001-06,11.569668924187255
2001-07,11.567317614006166
2001-08,11.704979956329892
2001-09,11.728702429663942
2001-10,11.853071087581409
2001-11,11.987623259315836
2001-12,11.685305653102757
2002-01,12.183447505363688
2002-02,12.031830915081589
2002-03,12.305721579554724
2002-04,12.396529563089025
2002-05,12.43476007313783
2002-06,12.38271036377314
2002-07,12.658561864214072
2002-08,12.508779001787524
2002-09,12.754659133998402
2002-10,12.841041183742584
2002-11,12.822127095030206
2002-12,12.599831721227208
2003-01,12.858949820615562
2003-02,12.543305547060742
2003-03,12.668744632323696
2003-04,12.764729383732778
2003-05,12.646081672546948
2003-06,12.699188943720271
2003-07,12.828126784824152
2003-08,12.861144709165567
2003-09,13.029728506010283
2003-10,13.217136555814992
2003-11,13.348669965820594
2003-12,13.121193478364411
2004-01,13.406973753315652
2004-02,13.42822931141004
2004-03,13.407796935274309
2004-04,13.527986355110261
2004-05,13.471968672221234
2004-06,13.565044972668503
2004-07,13.541815143114212
2004-08,13.48414124805202
2004-09,13.661043608833767
2004-10,13.763172889112617
2004-11,13.724291671599897
2004-12,13.524535439287487
2005-01,13.763856797833698
2005-02,13.803380552364755
2005-03,13.813762649801545
2005-04,13.917704476883685
2005-05,14.03146338042573
2005-06,14.217832142690586
2005-07,14.225619539096368
2005-08,14.284092248957354
2005-09,14.24828821194628
2005-10,14.304795281674448
2005-11,14.52665725483902
2005-12,14.396547463486534
2006-01,14.70059254591351
2006-02,14.545111885708534
2006-03,14.674295568377957
2006-04,14.716056096359225
2006-05,14.782406425698184
2006-06,14.728537477942588
2006-07,14.738723322149578
2006-08,15.136398053034728
2006-09,15.059878624815697
2006-10,15.09135769226381
2006-11,15.092964575379408
2006-12,15.109677732356781
2007-01,15.204100728311554
2007-02,15.490863481745754
2007-03,15.415035789942694
2007-04,15.531309904723203
2007-05,15.635426485261492
2007-06,15.726263610015305
2007-07,15.761603267281451
2007-08,15.940062365940442
2007-09,15.754334366778108
2007-10,16.1013932336988
2007-11,16.172790160671397
2007-12,16.130816605629803
2008-01,16.3222068557274
2008-02,16.229424708946098
2008-03,16.2413684353265
2008-04,16.33770559293786
2008-05,16.376148048421932
2008-06,16.274146358640206
2008-07,16.504677233554848
2008-08,16.511359596662675
2008-09,16.31496316978248
2008-10,16.14262432061236
2008-11,15.910826442465403
2008-12,15.599549236922238
2009-01,16.016251719546755
2009-02,16.021415849377885
2009-03,15.758332431075361
2009-04,16.111134677895098
2009-05,16.08656952290391
2009-06,16.267295799200994
2009-07,16.53499230135255
2009-08,16.67270406518723
2009-09,16.760303633460225
2009-10,16.735341450180226
2009-11,16.624739883000732
2009-12,16.95791866681904
2010-01,16.92071089532395
2010-02,17.25423010849103
2010-03,17.300058996185022
2010-04,17.242542644472216
2010-05,17.535900778220885
2010-06,17.5205565773069
2010-07,17.588066792501476
2010-08,17.598422418976387
2010-09,17.635510788522136
2010-10,17.763478445412094
2010-11,17.847413169070943
2010-12,17.950108385516966
2011-01,18.280635597552603
2011-02,17.772114516282045
2011-03,18.04424988616535
2011-04,18.109603107487892
2011-05,18.080153677191937
2011-06,18.12324321532017
2011-07,18.174751190885953
2011-08,18.285578093055303
2011-09,18.124670716058745
2011-10,18.356102074898665
2011-11,18.383697604057822
2011-12,18.227200321043515
2012-01,18.45847002857842
2012-02,18.598801926713865
2012-03,18.458728044707712
2012-04,18.502605115623123
2012-05,18.682225126594123
